id,equipe,adversaire,logo_adversaire,date,heure,lieu,domicile,division,score_scr,score_adv,buteurs,statut,created_at,updated_at
137,SCR 1,Bischwiller Turcs,https://cdn-transverse.azureedge.net/phlogos/BC528843.jpg,2025-12-07,14:30:00,"STADE DES PINS 1, BISCHWILLER",f,District 1 Alsace,4,1,"{""Kenny DEBURE"",""Jonathan SCHLADENHAUFEN"",""Quentin DUARTE"",""Erwan KNOERY""}",termine,2026-04-27 11:13:12.615667,2026-05-11 11:02:24.609517
138,SCR 1,Sessenheim/Stattmatt,https://cdn-transverse.azureedge.net/phlogos/BC504043.jpg,2026-03-01,15:00:00,"STADE MUNICIPAL 1, SESSENHEIM",f,District 1 Alsace,1,1,"{""Nicolas MARTIRADONNA""}",termine,2026-04-27 11:13:12.616391,2026-05-11 11:02:24.610191
141,SCR 1,Mundolsheim As,https://cdn-transverse.azureedge.net/phlogos/BC509457.jpg,2026-03-08,15:00:00,"PARC DES SPORTS LES FLORALIES 1, MUNDOLSHEIM",f,District 1 Alsace,2,4,"{""Tom KASPER"",""Tom KASPER""}",termine,2026-04-27 11:13:12.61874,2026-05-11 11:02:24.612183
142,SCR 1,Durrenb. Ent. Hegen,https://cdn-transverse.azureedge.net/phlogos/BC504059.jpg,2026-03-15,15:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,1,2,"{""Franck FUCHS""}",termine,2026-04-27 11:13:12.619469,2026-05-11 11:02:24.61282
147,SCR 1,Beinheim S.S.,https://cdn-transverse.azureedge.net/phlogos/BC508931.jpg,2026-03-29,15:00:00,"STADE DE LA SAUER 1, BEINHEIM",f,District 1 Alsace,2,1,"{""Tom KASPER"",""Quentin DUARTE""}",termine,2026-04-27 11:13:12.623178,2026-05-11 11:02:24.615979
149,SCR 1,Gambsheim As,https://cdn-transverse.azureedge.net/phlogos/BC504133.jpg,2026-04-12,16:00:00,"STADE BITZIG 1, GAMBSHEIM",f,District 1 Alsace,0,3,{},termine,2026-04-27 11:13:12.624657,2026-05-11 11:02:24.61754
89,SCR 1,Hoenheim Sr,https://cdn-transverse.azureedge.net/phlogos/BC503968.jpg,2026-04-19,15:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,0,1,{},termine,2026-04-18 13:51:27.309341,2026-05-11 11:02:24.625123
96,SCR 1,Strg Hautepierre Afj,https://cdn-transverse.azureedge.net/phlogos/BC582444.jpg,2026-04-26,16:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,1,2,"{""Meihdy PORTIER""}",termine,2026-04-19 22:50:36.759393,2026-05-11 11:02:24.628987
99,SCR 1,Mothern Fc,https://cdn-transverse.azureedge.net/phlogos/BC519635.jpg,2026-05-03,16:00:00,"STADE MUNICIPAL DE LA NEUWIES 1, MOTHERN",f,District 1 Alsace,2,2,"{""Tom KASPER"",""Meihdy PORTIER""}",termine,2026-04-27 11:08:37.66843,2026-05-11 11:02:24.630665
168,SCR 1,Mundolsheim As,https://cdn-transverse.azureedge.net/phlogos/BC509457.jpg,2026-05-10,16:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,2,2,"{""Nicolas MARTIRADONNA"",""Gregory SCHNEIDER""}",termine,2026-05-11 10:27:13.770647,2026-05-11 11:02:24.632237
157,SCR 1,Oberlauterbach Us,https://cdn-transverse.azureedge.net/phlogos/BC527527.jpg,2026-05-17,17:00:00,"STADE MUNICIPAL 1, OBERLAUTERBACH",f,District 1 Alsace,0,3,{},termine,2026-04-27 11:13:12.631497,2026-05-18 08:29:02.417103
160,SCR 1,Bischwiller Turcs,https://cdn-transverse.azureedge.net/phlogos/BC528843.jpg,2026-05-31,17:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 1 Alsace,1,3,"{""Kenny DEBURE""}",termine,2026-04-27 11:13:12.633918,2026-06-02 14:08:54.30661
163,SCR 1,Strasbourg Suc,https://cdn-transverse.azureedge.net/phlogos/BC515965.jpg,2026-06-07,17:00:00,"STADE DE L' ILL 1, STRASBOURG",f,District 1 Alsace,3,0,"{""Erwan KNOERY"",""Ewann KANT"",""Matthieu CAMOLLI""}",termine,2026-04-27 11:13:12.636611,2026-06-09 09:29:48.66113
103,SCR 2,Dalhunden Us,https://cdn-transverse.azureedge.net/phlogos/BC504119.jpg,2025-08-24,16:00:00,"STADE MUNICIPAL, DALHUNDEN",f,District 5 Alsace,2,1,"{""Nathan LITSCHGY"",""Sebastien KASTNER""}",termine,2026-04-27 11:13:12.577013,2026-05-11 11:02:24.581563
105,SCR 2,Bischwiller Turcs,https://cdn-transverse.azureedge.net/phlogos/BC528843.jpg,2025-08-31,10:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,Coupe des Réserves Alsace Vivialys,1,2,"{""Nathan LITSCHGY""}",termine,2026-04-27 11:13:12.579402,2026-05-11 11:02:24.583505
108,SCR 2,Ent.Fcwiss/Altenstad,https://cdn-transverse.azureedge.net/phlogos/BC500413.jpg,2025-09-07,10:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 5 Alsace,1,1,"{""Julien HUCK""}",termine,2026-04-27 11:13:12.583585,2026-05-11 11:02:24.586379
112,SCR 2,La Wantzenau Fc,https://cdn-transverse.azureedge.net/phlogos/BC514691.jpg,2025-09-21,10:00:00,"STADE MARCEL DIEBOLD 2, LA WANTZENAU",f,District 5 Alsace,1,1,"{""Julien HUCK""}",termine,2026-04-27 11:13:12.593368,2026-05-11 11:02:24.590284
116,SCR 2,Schoen/Memmel Fr,https://cdn-transverse.azureedge.net/phlogos/BC582629.jpg,2025-10-05,10:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 5 Alsace,1,0,"{""Julien HUCK""}",termine,2026-04-27 11:13:12.597989,2026-05-11 11:02:24.593511
118,SCR 2,Offendorf Es,https://cdn-transverse.azureedge.net/phlogos/BC511645.jpg,2025-10-12,10:00:00,"STADE DU RHIN 1, OFFENDORF",f,District 5 Alsace,4,0,"{""Didier MALA"",""Greg MULLER"",""Didier MALA"",""Sylvain KARL""}",termine,2026-04-27 11:13:12.59998,2026-05-11 11:02:24.595104
